participant_id,session,attempt,genuine,timestamp,force_0,force_1,force_2,hold_0,hold_1,hold_2,gap_0,gap_1,voice_0,voice_1,voice_2,gap_dist_0,gap_dist_1,baseline_noise,mean_distance,S_M,S_V,S_G,S_U,decision
P01,1,1,True,1736910180,117,655,223,193,301,427,512,333,4,4,3,65,57,12,274,76,66,67,86,ACCEPT
P01,1,2,True,1736910360,130,648,254,379,363,374,687,445,7,4,3,48,21,10,284,62,100,52,90,ACCEPT
P01,1,3,True,1736910540,127,574,247,343,429,163,605,284,7,4,3,64,46,25,282,66,100,85,95,ACCEPT
P01,1,4,True,1736910720,132,637,258,218,442,192,490,407,7,4,3,62,56,15,286,74,100,74,86,ACCEPT
P01,1,5,True,1736910900,175,581,232,280,389,345,700,264,7,4,3,54,41,13,287,77,100,87,83,ACCEPT
P01,2,1,True,1737082980,153,616,246,207,288,374,563,384,7,4,5,63,58,13,272,84,66,70,81,ACCEPT
P01,2,2,True,1737083160,107,612,218,249,457,438,627,331,7,4,3,44,33,18,262,82,100,60,63,ACCEPT
P01,2,3,True,1737083340,172,595,209,50,333,526,587,358,7,4,7,57,49,11,287,52,66,85,83,ACCEPT
P01,2,4,True,1737083520,109,573,227,192,342,222,610,258,7,4,3,48,34,16,267,79,100,67,72,ACCEPT
P01,2,5,True,1737083700,158,594,256,50,399,266,452,339,7,4,3,35,38,16,270,71,100,60,77,ACCEPT
P01,3,1,True,1737428580,140,628,250,297,340,387,654,294,7,4,3,67,36,8,283,82,100,74,92,ACCEPT
P01,3,2,True,1737428760,136,627,222,212,312,425,523,272,7,4,3,58,70,18,272,81,100,65,81,ACCEPT
P01,3,3,True,1737428940,126,614,247,195,365,264,660,382,7,4,3,82,48,26,269,86,100,60,75,ACCEPT
P01,3,4,True,1737429120,120,608,280,278,396,304,532,293,7,4,3,66,30,22,271,88,100,67,79,ACCEPT
P01,3,5,True,1737429300,154,598,233,106,274,291,515,304,7,4,3,79,56,18,273,75,100,52,83,ACCEPT
P01,4,1,True,1738033380,164,588,231,274,371,358,559,298,7,4,3,88,37,12,291,90,100,55,75,ACCEPT
P01,4,2,True,1738033560,145,611,248,414,314,458,540,377,7,4,3,88,53,17,271,58,100,49,79,ACCEPT
P01,4,3,True,1738033740,137,622,199,160,485,227,464,360,7,4,3,37,20,6,287,72,100,40,83,REJECT
P01,4,4,True,1738033920,128,649,204,223,373,119,529,404,2,4,3,55,25,18,284,67,66,66,90,ACCEPT
P01,4,5,True,1738034100,130,610,213,190,371,380,548,219,7,4,3,50,45,15,282,86,100,81,95,ACCEPT
P02,1,1,True,1736910180,134,613,286,180,516,195,465,243,8,0,0,50,70,30,209,77,100,70,79,ACCEPT
P02,1,2,True,1736910360,105,646,308,247,556,276,668,275,8,0,0,58,78,30,215,79,100,68,92,ACCEPT
P02,1,3,True,1736910540,130,592,298,167,542,343,581,504,8,0,0,22,67,40,210,73,100,56,81,ACCEPT
P02,1,4,True,1736910720,96,635,267,121,484,280,611,300,8,0,1,86,75,36,216,86,66,56,95,ACCEPT
P02,1,5,True,1736910900,120,626,273,277,558,404,543,239,8,2,0,53,49,36,219,77,66,56,97,ACCEPT
P02,2,1,True,1737082980,98,575,285,216,477,172,706,433,8,0,0,49,65,34,217,66,100,74,97,ACCEPT
P02,2,2,True,1737083160,129,639,317,216,379,334,637,350,8,0,0,57,64,33,224,78,100,82,86,ACCEPT
P02,2,3,True,1737083340,104,625,302,316,481,344,571,316,8,0,0,81,76,31,211,87,100,59,83,ACCEPT
P02,2,4,True,1737083520,104,594,297,281,432,388,441,286,8,0,0,65,80,35,225,72,100,78,83,ACCEPT
