participant_id,session,attempt,genuine,timestamp,force_0,force_1,force_2,hold_0,hold_1,hold_2,gap_0,gap_1,baseline_noise,mean_distance,S_M,S_A,S_U,decision
P01,1,1,True,1736910180,129,610,237,274,474,280,608,277,19,232,65,0,90,REJECT
P01,1,2,True,1736910360,142,584,235,203,294,463,548,239,24,236,37,0,98,REJECT
P01,1,3,True,1736910540,127,600,209,142,508,348,709,359,14,237,35,0,100,REJECT
P01,1,4,True,1736910720,121,607,231,248,332,187,535,357,18,239,50,0,96,REJECT
P01,1,5,True,1736910900,144,681,207,279,452,312,527,457,18,242,43,0,90,REJECT
P01,2,1,True,1737082980,125,607,251,178,398,310,635,292,17,237,77,0,100,REJECT
P01,2,2,True,1737083160,141,632,234,325,300,408,472,394,16,240,26,0,94,REJECT
P01,2,3,True,1737083340,141,603,244,374,361,364,642,237,23,246,41,0,83,REJECT
P01,2,4,True,1737083520,115,597,240,123,408,212,542,237,18,244,34,0,86,REJECT
P01,2,5,True,1737083700,156,587,246,108,251,337,568,301,26,229,40,0,85,REJECT
P01,3,1,True,1737428580,102,601,214,215,450,461,532,264,16,240,41,0,94,REJECT
P01,3,2,True,1737428760,116,626,245,457,396,145,594,362,16,245,28,0,85,REJECT
P01,3,3,True,1737428940,134,606,238,204,366,432,489,333,19,244,55,33,86,REJECT
P01,3,4,True,1737429120,131,624,226,230,341,285,568,145,18,240,62,0,94,REJECT
P01,3,5,True,1737429300,131,574,220,254,373,222,545,393,15,230,50,0,86,REJECT
P01,4,1,True,1738033380,120,633,228,185,312,309,652,207,18,234,50,0,94,REJECT
P01,4,2,True,1738033560,148,523,211,227,551,215,727,185,10,223,11,0,75,REJECT
P01,4,3,True,1738033740,140,619,230,336,518,224,649,327,23,226,25,0,80,REJECT
P01,4,4,True,1738033920,131,589,217,273,304,374,571,356,13,250,57,0,77,REJECT
P01,4,5,True,1738034100,154,594,213,436,425,275,599,118,9,232,23,0,90,REJECT
P02,1,1,True,1736910180,78,592,276,280,402,273,601,245,28,207,50,0,100,REJECT
P02,1,2,True,1736910360,107,570,290,244,463,329,551,186,15,209,56,0,96,REJECT
P02,1,3,True,1736910540,113,581,282,107,510,207,509,226,25,205,31,0,96,REJECT
P02,1,4,True,1736910720,117,620,272,248,308,324,709,253,26,202,33,0,90,REJECT
P02,1,5,True,1736910900,125,600,275,153,474,341,554,344,16,203,73,0,92,REJECT
P02,2,1,True,1737082980,152,631,254,276,415,223,532,421,19,210,41,0,94,REJECT
P02,2,2,True,1737083160,109,636,268,247,520,189,557,203,21,204,47,0,94,REJECT
P02,2,3,True,1737083340,88,639,322,272,406,322,648,354,17,210,32,0,94,REJECT
P02,2,4,True,1737083520,119,622,278,202,586,332,230,132,28,204,26,0,94,REJECT
P02,2,5,True,1737083700,131,561,269,165,454,328,381,298,16,208,38,0,98,REJECT
P02,3,1,True,1737428580,145,590,272,121,412,343,639,327,22,205,44,0,96,REJECT
P02,3,2,True,1737428760,170,569,292,194,492,320,605,186,23,206,39,0,98,REJECT
P02,3,3,True,1737428940,127,569,321,187,494,227,487,535,25,206,24,0,98,REJECT
P02,3,4,True,1737429120,169,617,324,129,550,341,589,306,23,205,36,0,96,REJECT
P02,3,5,True,1737429300,110,612,281,270,536,168,575,335,20,203,61,0,92,REJECT
P02,4,1,True,1738033380,155,607,270,161,488,304,655,392,20,211,60,0,92,REJECT
P02,4,2,True,1738033560,152,622,269,286,517,145,525,359,14,209,44,0,96,REJECT
P02,4,3,True,1738033740,119,621,281,306,527,200,602,199,31,204,38,0,94,REJECT
P02,4,4,True,1738033920,102,617,291,191,491,335,515,246,17,203,58,0,92,REJECT
P02,4,5,True,1738034100,118,606,285,203,467,396,500,398,22,209,47,0,96,REJECT
P03,1,1,True,1736910180,139,575,375,76,382,229,559,246,19,242,29,0,96,REJECT
P03,1,2,True,1736910360,149,516,325,343,347,224,577,460,25,230,29,0,81,REJECT
P03,1,3,True,1736910540,186,516,372,293,511,173,645,108,22,241,19,0,98,REJECT
P03,1,4,True,1736910720,139,524,340,207,448,304,686,372,28,235,51,0,90,REJECT
P03,1,5,True,1736910900,108,531,401,271,470,429,779,298,16,242,32,0,96,REJECT
P03,2,1,True,1737082980,143,484,405,293,443,290,641,305,27,247,41,0,86,REJECT
P03,2,2,True,1737083160,133,530,343,251,429,241,602,306,20,247,81,0,86,REJECT
P03,2,3,True,1737083340,167,548,371,174,376,242,486,593,13,234,36,0,88,REJECT
P03,2,4,True,1737083520,187,526,358,152,541,268,556,328,12,240,57,0,100,REJECT
P03,2,5,True,1737083700,186,527,344,271,433,277,551,415,23,235,56,0,90,REJECT
P03,3,1,True,1737428580,169,512,374,372,436,134,541,100,28,241,8,0,98,REJECT
P03,3,2,True,1737428760,190,522,380,252,571,225,634,323,31,247,39,0,86,REJECT
P03,3,3,True,1737428940,143,552,361,277,535,340,738,256,19,244,33,0,92,REJECT
P03,3,4,True,1737429120,145,512,307,163,406,269,614,356,27,232,47,0,85,REJECT
P03,3,5,True,1737429300,158,527,343,210,363,344,558,238,36,243,62,0,94,REJECT
P03,4,1,True,1738033380,147,507,342,107,493,405,619,100,25,247,12,0,86,REJECT
P03,4,2,True,1738033560,121,507,347,282,533,202,644,332,27,236,42,0,92,REJECT
P03,4,3,True,1738033740,162,525,363,186,474,348,599,404,19,249,50,0,83,REJECT
P03,4,4,True,1738033920,149,545,356,203,455,50,589,321,29,251,52,0,80,REJECT
P03,4,5,True,1738034100,196,479,341,93,430,322,770,323,23,239,38,0,98,REJECT
P04,1,1,True,1736910180,145,552,284,139,357,283,516,398,20,163,31,0,85,REJECT
P04,1,2,True,1736910360,164,579,296,260,540,336,676,134,21,168,27,0,77,REJECT
P04,1,3,True,1736910540,147,551,289,120,332,405,689,293,18,146,44,0,83,REJECT
P04,1,4,True,1736910720,170,583,262,220,442,509,588,245,21,157,60,0,96,REJECT
P04,1,5,True,1736910900,153,593,276,239,387,518,531,258,21,159,58,0,92,REJECT
P04,2,1,True,1737082980,153,532,244,180,245,291,641,396,21,135,30,0,67,REJECT
