tau_V,tau_G,tau_M,tau_T,w_V,w_G,w_M,FAR,FRR,AER
,20,40,40,,0.05,0.95,64.0,0.6666666666666666,32.333333333333336
,20,40,40,,0.1,0.9,63.55555555555556,0.6666666666666666,32.111111111111114
,20,40,40,,0.15,0.85,62.888888888888886,0.6666666666666666,31.777777777777775
,20,40,40,,0.2,0.8,62.44444444444444,0.6666666666666666,31.555555555555554
,20,40,40,,0.25,0.75,62.22222222222222,0.6666666666666666,31.444444444444443
,20,40,40,,0.3,0.7,61.77777777777778,0.6666666666666666,31.22222222222222
,20,40,40,,0.35,0.65,60.666666666666664,0.6666666666666666,30.666666666666664
,20,40,40,,0.4,0.6,60.22222222222222,0.6666666666666666,30.444444444444443
,20,40,40,,0.45,0.55,59.55555555555556,0.6666666666666666,30.11111111111111
,20,40,40,,0.5,0.5,59.333333333333336,0.6666666666666666,30.0
,20,40,40,,0.55,0.45,58.0,0.7777777777777778,29.38888888888889
,20,40,40,,0.6,0.4,56.44444444444444,0.7777777777777778,28.61111111111111
,20,40,40,,0.65,0.35,55.55555555555556,1.0,28.27777777777778
,20,40,40,,0.7,0.3,54.0,1.2222222222222223,27.61111111111111
,20,40,40,,0.75,0.25,52.44444444444444,1.5555555555555556,27.0
,20,40,40,,0.8,0.2,51.333333333333336,2.0,26.666666666666668
,20,40,40,,0.85,0.15,49.333333333333336,3.0,26.166666666666668
,20,40,40,,0.9,0.1,48.0,3.7777777777777777,25.88888888888889
,20,40,40,,0.95,0.05,46.666666666666664,4.333333333333333,25.5
,20,40,42,,0.05,0.95,58.888888888888886,0.6666666666666666,29.777777777777775
,20,40,42,,0.1,0.9,60.0,0.6666666666666666,30.333333333333332
,20,40,42,,0.15,0.85,60.0,0.6666666666666666,30.333333333333332
,20,40,42,,0.2,0.8,60.44444444444444,0.6666666666666666,30.555555555555554
,20,40,42,,0.25,0.75,59.333333333333336,0.6666666666666666,30.0
,20,40,42,,0.3,0.7,59.111111111111114,0.6666666666666666,29.88888888888889
,20,40,42,,0.35,0.65,58.666666666666664,0.6666666666666666,29.666666666666664
,20,40,42,,0.4,0.6,58.22222222222222,0.6666666666666666,29.444444444444443
,20,40,42,,0.45,0.55,57.77777777777778,0.6666666666666666,29.22222222222222
,20,40,42,,0.5,0.5,56.888888888888886,0.6666666666666666,28.777777777777775
,20,40,42,,0.55,0.45,55.55555555555556,0.7777777777777778,28.166666666666668
,20,40,42,,0.6,0.4,54.22222222222222,1.0,27.61111111111111
,20,40,42,,0.65,0.35,52.44444444444444,1.2222222222222223,26.833333333333332
,20,40,42,,0.7,0.3,50.44444444444444,1.6666666666666667,26.055555555555554
,20,40,42,,0.75,0.25,48.888888888888886,2.111111111111111,25.5
,20,40,42,,0.8,0.2,48.22222222222222,2.888888888888889,25.555555555555554
,20,40,42,,0.85,0.15,46.888888888888886,4.0,25.444444444444443
,20,40,42,,0.9,0.1,45.111111111111114,4.444444444444445,24.77777777777778
,20,40,42,,0.95,0.05,44.888888888888886,4.888888888888889,24.888888888888886
,20,40,44,,0.05,0.95,53.333333333333336,0.7777777777777778,27.055555555555557
,20,40,44,,0.1,0.9,55.111111111111114,0.6666666666666666,27.88888888888889
,20,40,44,,0.15,0.85,55.333333333333336,0.6666666666666666,28.0
,20,40,44,,0.2,0.8,56.22222222222222,0.6666666666666666,28.444444444444443
,20,40,44,,0.25,0.75,56.44444444444444,0.6666666666666666,28.555555555555554
,20,40,44,,0.3,0.7,56.0,0.6666666666666666,28.333333333333332
,20,40,44,,0.35,0.65,56.22222222222222,0.6666666666666666,28.444444444444443
,20,40,44,,0.4,0.6,55.77777777777778,0.6666666666666666,28.22222222222222
,20,40,44,,0.45,0.55,54.888888888888886,0.6666666666666666,27.777777777777775
,20,40,44,,0.5,0.5,53.77777777777778,0.7777777777777778,27.27777777777778
,20,40,44,,0.55,0.45,51.77777777777778,0.8888888888888888,26.333333333333332
,20,40,44,,0.6,0.4,50.0,1.2222222222222223,25.61111111111111
,20,40,44,,0.65,0.35,48.44444444444444,1.7777777777777777,25.11111111111111
,20,40,44,,0.7,0.3,46.888888888888886,2.2222222222222223,24.555555555555554
,20,40,44,,0.75,0.25,46.22222222222222,3.0,24.61111111111111
,20,40,44,,0.8,0.2,44.22222222222222,4.0,24.11111111111111
,20,40,44,,0.85,0.15,43.333333333333336,4.444444444444445,23.88888888888889
,20,40,44,,0.9,0.1,42.22222222222222,5.111111111111111,23.666666666666664
,20,40,44,,0.95,0.05,40.888888888888886,5.777777777777778,23.333333333333332
,20,40,46,,0.05,0.95,49.55555555555556,1.0,25.27777777777778
,20,40,46,,0.1,0.9,50.666666666666664,0.7777777777777778,25.72222222222222
,20,40,46,,0.15,0.85,52.22222222222222,0.6666666666666666,26.444444444444443
,20,40,46,,0.2,0.8,52.888888888888886,0.6666666666666666,26.777777777777775
,20,40,46,,0.25,0.75,53.333333333333336,0.6666666666666666,27.0
,20,40,46,,0.3,0.7,52.888888888888886,0.6666666666666666,26.777777777777775
,20,40,46,,0.35,0.65,52.44444444444444,0.6666666666666666,26.555555555555554
,20,40,46,,0.4,0.6,50.666666666666664,0.6666666666666666,25.666666666666664
,20,40,46,,0.45,0.55,50.22222222222222,0.7777777777777778,25.5
,20,40,46,,0.5,0.5,49.111111111111114,0.8888888888888888,25.0
,20,40,46,,0.55,0.45,47.111111111111114,1.3333333333333333,24.222222222222225
,20,40,46,,0.6,0.4,45.77777777777778,1.7777777777777777,23.77777777777778
,20,40,46,,0.65,0.35,44.666666666666664,2.2222222222222223,23.444444444444443
,20,40,46,,0.7,0.3,43.111111111111114,3.0,23.055555555555557
,20,40,46,,0.75,0.25,41.77777777777778,4.0,22.88888888888889
,20,40,46,,0.8,0.2,40.888888888888886,4.777777777777778,22.833333333333332
,20,40,46,,0.85,0.15,39.55555555555556,5.222222222222222,22.38888888888889
,20,40,46,,0.9,0.1,39.333333333333336,5.888888888888889,22.611111111111114
,20,40,46,,0.95,0.05,39.333333333333336,8.0,23.666666666666668
,20,40,48,,0.05,0.95,43.77777777777778,1.3333333333333333,22.555555555555557
,20,40,48,,0.1,0.9,45.333333333333336,1.1111111111111112,23.222222222222225
,20,40,48,,0.15,0.85,45.77777777777778,0.8888888888888888,23.333333333333332
,20,40,48,,0.2,0.8,47.111111111111114,0.7777777777777778,23.944444444444446
,20,40,48,,0.25,0.75,47.333333333333336,0.7777777777777778,24.055555555555557
,20,40,48,,0.3,0.7,46.666666666666664,0.7777777777777778,23.72222222222222
,20,40,48,,0.35,0.65,46.0,0.6666666666666666,23.333333333333332
,20,40,48,,0.4,0.6,44.666666666666664,0.7777777777777778,22.72222222222222
,20,40,48,,0.45,0.55,43.333333333333336,1.1111111111111112,22.222222222222225
,20,40,48,,0.5,0.5,43.55555555555556,1.3333333333333333,22.444444444444446
,20,40,48,,0.55,0.45,40.666666666666664,1.7777777777777777,21.22222222222222
,20,40,48,,0.6,0.4,40.44444444444444,2.3333333333333335,21.38888888888889
,20,40,48,,0.65,0.35,40.22222222222222,3.111111111111111,21.666666666666668
,20,40,48,,0.7,0.3,38.666666666666664,3.888888888888889,21.277777777777775
,20,40,48,,0.75,0.25,37.333333333333336,4.777777777777778,21.055555555555557
,20,40,48,,0.8,0.2,36.666666666666664,5.555555555555555,21.11111111111111
,20,40,48,,0.85,0.15,36.44444444444444,6.777777777777778,21.61111111111111
,20,40,48,,0.9,0.1,36.44444444444444,8.222222222222221,22.333333333333332
,20,40,48,,0.95,0.05,35.55555555555556,9.333333333333334,22.444444444444446
,20,40,50,,0.05,0.95,39.55555555555556,2.0,20.77777777777778
,20,40,50,,0.1,0.9,38.888888888888886,1.5555555555555556,20.22222222222222
,20,40,50,,0.15,0.85,40.22222222222222,1.3333333333333333,20.77777777777778
,20,40,50,,0.2,0.8,41.333333333333336,0.8888888888888888,21.11111111111111
,20,40,50,,0.25,0.75,40.888888888888886,0.8888888888888888,20.888888888888886
,20,40,50,,0.3,0.7,39.333333333333336,0.7777777777777778,20.055555555555557
,20,40,50,,0.35,0.65,39.333333333333336,1.1111111111111112,20.222222222222225
,20,40,50,,0.4,0.6,39.333333333333336,1.2222222222222223,20.27777777777778
,20,40,50,,0.45,0.55,39.111111111111114,1.5555555555555556,20.333333333333336
,20,40,50,,0.5,0.5,38.22222222222222,1.8888888888888888,20.055555555555554
,20,40,50,,0.55,0.45,37.111111111111114,2.4444444444444446,19.77777777777778
,20,40,50,,0.6,0.4,37.111111111111114,3.2222222222222223,20.166666666666668
,20,40,50,,0.65,0.35,35.333333333333336,4.333333333333333,19.833333333333336
,20,40,50,,0.7,0.3,34.22222222222222,5.111111111111111,19.666666666666664
,20,40,50,,0.75,0.25,34.22222222222222,5.888888888888889,20.055555555555557
,20,40,50,,0.8,0.2,34.666666666666664,7.0,20.833333333333332
,20,40,50,,0.85,0.15,34.22222222222222,8.88888888888889,21.555555555555557
,20,40,50,,0.9,0.1,33.77777777777778,9.666666666666666,21.72222222222222
,20,40,50,,0.95,0.05,32.888888888888886,11.555555555555555,22.22222222222222
,20,40,52,,0.05,0.95,34.44444444444444,2.6666666666666665,18.555555555555554
,20,40,52,,0.1,0.9,35.111111111111114,2.111111111111111,18.611111111111114
,20,40,52,,0.15,0.85,34.22222222222222,1.7777777777777777,18.0
,20,40,52,,0.2,0.8,34.44444444444444,1.5555555555555556,18.0
,20,40,52,,0.25,0.75,34.44444444444444,1.3333333333333333,17.88888888888889
,20,40,52,,0.3,0.7,34.44444444444444,1.5555555555555556,18.0
,20,40,52,,0.35,0.65,34.44444444444444,1.6666666666666667,18.055555555555554
,20,40,52,,0.4,0.6,34.888888888888886,2.0,18.444444444444443
,20,40,52,,0.45,0.55,33.77777777777778,2.3333333333333335,18.055555555555557
,20,40,52,,0.5,0.5,34.22222222222222,2.6666666666666665,18.444444444444443
,20,40,52,,0.55,0.45,34.22222222222222,3.888888888888889,19.055555555555554
,20,40,52,,0.6,0.4,33.111111111111114,4.777777777777778,18.944444444444446
,20,40,52,,0.65,0.35,31.77777777777778,5.555555555555555,18.666666666666668
,20,40,52,,0.7,0.3,32.0,6.555555555555555,19.27777777777778
,20,40,52,,0.75,0.25,31.555555555555557,7.444444444444445,19.5
,20,40,52,,0.8,0.2,31.11111111111111,9.555555555555555,20.333333333333332
,20,40,52,,0.85,0.15,30.444444444444443,11.0,20.72222222222222
,20,40,52,,0.9,0.1,30.666666666666668,12.333333333333334,21.5
,20,40,52,,0.95,0.05,31.333333333333332,13.333333333333334,22.333333333333332
,20,40,54,,0.05,0.95,29.333333333333332,4.222222222222222,16.77777777777778
,20,40,54,,0.1,0.9,28.444444444444443,3.4444444444444446,15.944444444444443
,20,40,54,,0.15,0.85,28.88888888888889,3.2222222222222223,16.055555555555557
,20,40,54,,0.2,0.8,28.444444444444443,2.5555555555555554,15.5
,20,40,54,,0.25,0.75,29.11111111111111,2.3333333333333335,15.722222222222221
,20,40,54,,0.3,0.7,30.0,2.3333333333333335,16.166666666666668
,20,40,54,,0.35,0.65,29.77777777777778,2.4444444444444446,16.11111111111111
,20,40,54,,0.4,0.6,29.555555555555557,2.4444444444444446,16.0
,20,40,54,,0.45,0.55,28.0,3.0,15.5
,20,40,54,,0.5,0.5,28.666666666666668,4.222222222222222,16.444444444444446
,20,40,54,,0.55,0.45,27.555555555555557,5.444444444444445,16.5
,20,40,54,,0.6,0.4,27.333333333333332,6.222222222222222,16.77777777777778
,20,40,54,,0.65,0.35,27.77777777777778,7.666666666666667,17.72222222222222
,20,40,54,,0.7,0.3,28.0,8.88888888888889,18.444444444444443
,20,40,54,,0.75,0.25,28.22222222222222,10.222222222222221,19.22222222222222
,20,40,54,,0.8,0.2,28.444444444444443,11.666666666666666,20.055555555555554
,20,40,54,,0.85,0.15,28.88888888888889,13.444444444444445,21.166666666666668
,20,40,54,,0.9,0.1,28.22222222222222,14.666666666666666,21.444444444444443
,20,40,54,,0.95,0.05,28.0,16.77777777777778,22.38888888888889
,20,40,56,,0.05,0.95,24.88888888888889,6.333333333333333,15.61111111111111
,20,40,56,,0.1,0.9,23.77777777777778,5.555555555555555,14.666666666666668
,20,40,56,,0.15,0.85,23.11111111111111,4.888888888888889,14.0
,20,40,56,,0.2,0.8,23.77777777777778,4.666666666666667,14.222222222222223
,20,40,56,,0.25,0.75,23.555555555555557,3.888888888888889,13.722222222222223
,20,40,56,,0.3,0.7,24.0,3.888888888888889,13.944444444444445
,20,40,56,,0.35,0.65,24.22222222222222,3.7777777777777777,14.0
,20,40,56,,0.4,0.6,23.555555555555557,4.333333333333333,13.944444444444445
,20,40,56,,0.45,0.55,24.22222222222222,5.666666666666667,14.944444444444445
,20,40,56,,0.5,0.5,24.0,6.444444444444445,15.222222222222221
,20,40,56,,0.55,0.45,23.555555555555557,7.444444444444445,15.5
