tau_V,tau_G,tau_M,tau_T,w_V,w_G,w_M,FAR,FRR,AER
20,,40,40,0.05,,0.95,67.11111111111111,0.4444444444444444,33.77777777777778
20,,40,40,0.1,,0.9,67.11111111111111,0.4444444444444444,33.77777777777778
20,,40,40,0.15,,0.85,67.11111111111111,0.4444444444444444,33.77777777777778
20,,40,40,0.2,,0.8,66.88888888888889,0.4444444444444444,33.666666666666664
20,,40,40,0.25,,0.75,66.88888888888889,0.4444444444444444,33.666666666666664
20,,40,40,0.3,,0.7,66.66666666666667,0.4444444444444444,33.55555555555556
20,,40,40,0.35,,0.65,66.66666666666667,0.4444444444444444,33.55555555555556
20,,40,40,0.4,,0.6,66.66666666666667,0.4444444444444444,33.55555555555556
20,,40,40,0.45,,0.55,66.22222222222223,0.4444444444444444,33.333333333333336
20,,40,40,0.5,,0.5,66.22222222222223,0.4444444444444444,33.333333333333336
20,,40,40,0.55,,0.45,66.0,0.4444444444444444,33.22222222222222
20,,40,40,0.6,,0.4,65.77777777777777,0.4444444444444444,33.11111111111111
20,,40,40,0.65,,0.35,65.33333333333333,0.4444444444444444,32.888888888888886
20,,40,40,0.7,,0.3,64.88888888888889,0.4444444444444444,32.666666666666664
20,,40,40,0.75,,0.25,64.88888888888889,0.4444444444444444,32.666666666666664
20,,40,40,0.8,,0.2,64.22222222222223,0.4444444444444444,32.333333333333336
20,,40,40,0.85,,0.15,63.333333333333336,0.4444444444444444,31.88888888888889
20,,40,40,0.9,,0.1,62.22222222222222,0.4444444444444444,31.333333333333332
20,,40,40,0.95,,0.05,61.333333333333336,0.4444444444444444,30.88888888888889
20,,40,42,0.05,,0.95,60.888888888888886,0.5555555555555556,30.72222222222222
20,,40,42,0.1,,0.9,64.0,0.4444444444444444,32.22222222222222
20,,40,42,0.15,,0.85,64.66666666666667,0.4444444444444444,32.55555555555556
20,,40,42,0.2,,0.8,64.88888888888889,0.4444444444444444,32.666666666666664
20,,40,42,0.25,,0.75,65.11111111111111,0.4444444444444444,32.77777777777778
20,,40,42,0.3,,0.7,64.88888888888889,0.4444444444444444,32.666666666666664
20,,40,42,0.35,,0.65,65.11111111111111,0.4444444444444444,32.77777777777778
20,,40,42,0.4,,0.6,65.33333333333333,0.4444444444444444,32.888888888888886
20,,40,42,0.45,,0.55,65.33333333333333,0.4444444444444444,32.888888888888886
20,,40,42,0.5,,0.5,64.88888888888889,0.4444444444444444,32.666666666666664
20,,40,42,0.55,,0.45,64.66666666666667,0.4444444444444444,32.55555555555556
20,,40,42,0.6,,0.4,64.66666666666667,0.4444444444444444,32.55555555555556
20,,40,42,0.65,,0.35,64.44444444444444,0.4444444444444444,32.44444444444444
20,,40,42,0.7,,0.3,63.77777777777778,0.4444444444444444,32.111111111111114
20,,40,42,0.75,,0.25,63.111111111111114,0.4444444444444444,31.77777777777778
20,,40,42,0.8,,0.2,61.333333333333336,0.4444444444444444,30.88888888888889
20,,40,42,0.85,,0.15,60.44444444444444,0.4444444444444444,30.444444444444443
20,,40,42,0.9,,0.1,59.333333333333336,0.4444444444444444,29.88888888888889
20,,40,42,0.95,,0.05,58.22222222222222,0.4444444444444444,29.333333333333332
20,,40,44,0.05,,0.95,55.333333333333336,0.6666666666666666,28.0
20,,40,44,0.1,,0.9,57.333333333333336,0.5555555555555556,28.944444444444446
20,,40,44,0.15,,0.85,59.333333333333336,0.4444444444444444,29.88888888888889
20,,40,44,0.2,,0.8,61.55555555555556,0.4444444444444444,31.0
20,,40,44,0.25,,0.75,62.44444444444444,0.4444444444444444,31.444444444444443
20,,40,44,0.3,,0.7,62.44444444444444,0.4444444444444444,31.444444444444443
20,,40,44,0.35,,0.65,62.22222222222222,0.4444444444444444,31.333333333333332
20,,40,44,0.4,,0.6,62.666666666666664,0.4444444444444444,31.555555555555554
20,,40,44,0.45,,0.55,62.0,0.4444444444444444,31.22222222222222
20,,40,44,0.5,,0.5,62.0,0.4444444444444444,31.22222222222222
20,,40,44,0.55,,0.45,61.77777777777778,0.4444444444444444,31.11111111111111
20,,40,44,0.6,,0.4,61.111111111111114,0.4444444444444444,30.77777777777778
20,,40,44,0.65,,0.35,60.666666666666664,0.4444444444444444,30.555555555555554
20,,40,44,0.7,,0.3,59.55555555555556,0.4444444444444444,30.0
20,,40,44,0.75,,0.25,58.0,0.4444444444444444,29.22222222222222
20,,40,44,0.8,,0.2,58.0,0.4444444444444444,29.22222222222222
20,,40,44,0.85,,0.15,57.111111111111114,0.4444444444444444,28.77777777777778
20,,40,44,0.9,,0.1,56.44444444444444,0.4444444444444444,28.444444444444443
20,,40,44,0.95,,0.05,56.0,0.4444444444444444,28.22222222222222
20,,40,46,0.05,,0.95,50.888888888888886,0.8888888888888888,25.888888888888886
20,,40,46,0.1,,0.9,52.0,0.6666666666666666,26.333333333333332
20,,40,46,0.15,,0.85,52.888888888888886,0.5555555555555556,26.72222222222222
20,,40,46,0.2,,0.8,56.22222222222222,0.4444444444444444,28.333333333333332
20,,40,46,0.25,,0.75,57.333333333333336,0.4444444444444444,28.88888888888889
20,,40,46,0.3,,0.7,57.77777777777778,0.4444444444444444,29.11111111111111
20,,40,46,0.35,,0.65,58.22222222222222,0.4444444444444444,29.333333333333332
20,,40,46,0.4,,0.6,59.55555555555556,0.4444444444444444,30.0
20,,40,46,0.45,,0.55,58.888888888888886,0.4444444444444444,29.666666666666664
20,,40,46,0.5,,0.5,58.888888888888886,0.4444444444444444,29.666666666666664
20,,40,46,0.55,,0.45,58.0,0.4444444444444444,29.22222222222222
20,,40,46,0.6,,0.4,57.333333333333336,0.4444444444444444,28.88888888888889
20,,40,46,0.65,,0.35,56.44444444444444,0.4444444444444444,28.444444444444443
20,,40,46,0.7,,0.3,55.77777777777778,0.4444444444444444,28.11111111111111
20,,40,46,0.75,,0.25,54.888888888888886,0.4444444444444444,27.666666666666664
20,,40,46,0.8,,0.2,54.22222222222222,0.4444444444444444,27.333333333333332
20,,40,46,0.85,,0.15,53.55555555555556,0.4444444444444444,27.0
20,,40,46,0.9,,0.1,52.666666666666664,0.4444444444444444,26.555555555555554
20,,40,46,0.95,,0.05,52.0,0.4444444444444444,26.22222222222222
20,,40,48,0.05,,0.95,45.77777777777778,1.1111111111111112,23.444444444444446
20,,40,48,0.1,,0.9,46.0,0.8888888888888888,23.444444444444443
20,,40,48,0.15,,0.85,46.0,0.6666666666666666,23.333333333333332
20,,40,48,0.2,,0.8,48.666666666666664,0.5555555555555556,24.61111111111111
20,,40,48,0.25,,0.75,50.44444444444444,0.4444444444444444,25.444444444444443
