tau_V,tau_G,tau_M,tau_T,w_V,w_G,w_M,FAR,FRR,AER
,20,54,60,,0.25,0.75,12.444444444444445,9.222222222222221,10.833333333333332
,22,54,60,,0.25,0.75,12.444444444444445,9.222222222222221,10.833333333333332
,24,54,60,,0.25,0.75,12.444444444444445,9.222222222222221,10.833333333333332
,20,50,60,,0.25,0.75,12.88888888888889,8.88888888888889,10.88888888888889
,22,50,60,,0.25,0.75,12.88888888888889,8.88888888888889,10.88888888888889
,24,50,60,,0.25,0.75,12.88888888888889,8.88888888888889,10.88888888888889
,26,54,60,,0.25,0.75,12.444444444444445,9.444444444444445,10.944444444444445
,32,50,60,,0.3,0.7,12.444444444444445,9.444444444444445,10.944444444444445
,20,50,60,,0.3,0.7,12.88888888888889,9.0,10.944444444444445
,20,52,60,,0.25,0.75,12.88888888888889,9.0,10.944444444444445
,22,50,60,,0.3,0.7,12.88888888888889,9.0,10.944444444444445
,22,52,60,,0.25,0.75,12.88888888888889,9.0,10.944444444444445
,24,50,60,,0.3,0.7,12.88888888888889,9.0,10.944444444444445
,24,52,60,,0.25,0.75,12.88888888888889,9.0,10.944444444444445
,32,54,60,,0.25,0.75,12.0,10.0,11.0
,28,54,60,,0.25,0.75,12.444444444444445,9.555555555555555,11.0
,32,52,60,,0.3,0.7,12.444444444444445,9.555555555555555,11.0
,30,50,60,,0.3,0.7,12.666666666666666,9.333333333333334,11.0
,20,52,60,,0.3,0.7,12.88888888888889,9.11111111111111,11.0
,22,52,60,,0.3,0.7,12.88888888888889,9.11111111111111,11.0
