tau_V,tau_G,tau_M,tau_T,w_V,w_G,w_M,FAR,FRR,AER
20,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
22,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
24,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
26,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
28,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
30,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
32,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
34,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
36,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
38,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
40,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
42,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
44,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
46,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
48,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
50,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
52,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
54,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
56,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
58,20,,72,0.95,0.05,,0.8888888888888888,1.7777777777777777,1.3333333333333333
