tau_V,tau_G,tau_M,tau_T,w_V,w_G,w_M,FAR,FRR,AER
20,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
22,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
24,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
26,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
28,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
30,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
32,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
34,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
36,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
38,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
40,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
42,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
44,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
46,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
48,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
50,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
52,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
54,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
56,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
58,,40,72,0.9,,0.1,0.0,1.7777777777777777,0.8888888888888888
